feature,mi_score
logp,1.3238529456838228
tpsa,1.3238461890968232
fraction_csp3,1.323456470376608
num_heavy_atoms,1.3057441273258013
polar_fraction,1.281215845522154
ligand_sasa,1.243163775890891
abs_total_charge,1.2135153090645017
num_nonpolar_atoms,1.1668728716777104
max_positive_charge,1.112113330679759
num_hydrophobic_pharmacophore,1.0812206319215658
num_rotatable_bonds,1.0518384396888314
max_negative_charge,1.0334634460428167
num_negative_ionizable,0.9382744606180851
total_charge,0.8762655748908816
num_hba_pharmacophore,0.8463501863365817
num_polar_atoms,0.7710782557767333
num_hbd_pharmacophore,0.7382518265789542
num_halogen_atoms,0.6971569619220082
shape_complementarity,0.5920194777635359
lipophilic_efficiency,0.5919000444249058
pharmacophore_radius,0.5918180937233317
pharmacophore_span,0.590412392175955
pca_variance_pc3,0.5903771665233148
hydrophobic_min_distance,0.5897558240379372
hbond_min_distance,0.5893491854877979
spatial_distribution_z,0.5889364442650149
spatial_distribution_x,0.5881155350315366
spatial_distribution_y,0.5878779397808329
ligand_efficiency,0.5867131875223879
interaction_density,0.5846637759368019
spatial_volume_ratio,0.5838430869651523
pharmacophore_triangular_area,0.5836636336197967
pca_axis1_y,0.5831666325146694
hydrophobic_mean_distance,0.5829011788973157
hbond_mean_distance,0.5827875190843459
molecular_compactness,0.5817211580199677
num_aromatic_pharmacophore,0.5794153487765987
centroid_distance,0.5780861706030902
ligand_surface_area,0.5761721493594596
pca_axis1_x,0.5735703537807622
hbond_max_distance,0.5717543817743329
ligand_volume,0.5715530861160474
atom_density,0.5700011275586125
pca_variance_pc2,0.5699978289924315
min_dist_to_protein,0.5687157965811429
total_interactions,0.5563154886084667
aromatic_mean_distance,0.5561658779273873
pca_axis1_z,0.5512972571109334
hydrophobic_surface_area,0.5498350669118763
aromatic_min_distance,0.5493578457816546
num_positive_ionizable,0.543005400555451
num_aromatic_interactions,0.5357687698405549
best_affinity,0.5252816083187883
total_energy_estimate,0.49855868481017573
ligand_centroid_z,0.45999012624610947
buried_surface_area,0.32253168260707543
selectivity_LEU764_mean_dist,0.25033769760315616
a_loop_ASP831_mean_dist,0.25028835694259977
hinge_MET769_min_dist,0.2499481219466233
a_loop_LEU834_min_dist,0.2495216559597666
dfg_GLY833_min_dist,0.24885873184870766
c_helix_GLU738_mean_dist,0.24880900883856283
dfg_PHE832_mean_dist,0.24802272623498478
hinge_LEU768_min_dist,0.24761643384851828
hinge_GLN767_min_dist,0.24693165248241788
c_helix_LYS721_mean_dist,0.2467380679401101
selectivity_LEU764_min_dist,0.24544451570000847
num_hbonds_lig_donor,0.24072883514022037
selectivity_VAL702_mean_dist,0.2377560548900992
p_loop_GLY695_mean_dist,0.23766425452522677
p_loop_GLY697_mean_dist,0.22920555455348612
c_helix_LYS721_min_dist,0.22794770817775145
selectivity_THR766_contacts,0.22652236191596087
p_loop_GLY697_min_dist,0.22416445644006888
c_helix_GLU738_min_dist,0.22297062218197272
a_loop_ASP831_min_dist,0.2228902585257333
num_hbonds_prot_donor,0.20999669259024634
c_helix_LYS721_contacts,0.20001636327841688
selectivity_THR766_min_dist,0.19725539621906307
selectivity_VAL702_min_dist,0.19630935538354022
p_loop_GLY695_min_dist,0.17772638637445892
dfg_PHE832_min_dist,0.17343485550326943
a_loop_ASP831_contacts,0.15366590685449655
selectivity_VAL702_contacts,0.14702838310000654
hinge_MET769_contacts,0.1371573802520385
selectivity_LEU764_contacts,0.10107056271924919
dfg_GLY833_contacts,0.07802182044889805
c_helix_GLU738_contacts,0.06063333579114727
a_loop_LEU834_contacts,0.04439902847139798
hinge_LEU768_contacts,0.04436254013130325
dfg_PHE832_contacts,0.031544409937108275
hinge_GLN767_contacts,0.011747492638644497
